"id","question","answer"
44,"Quel film de 2009 met en scène des créatures bleues sur la planète Pandora ?","Avatar"
45,"Dans 'Le Fabuleux Destin d’Amélie Poulain', quel objet Amélie retrouve-t-elle dans sa salle de bain ?","Une boîte à souvenirs"
46,"Quel est le nom du détective dans 'Chinatown' ?","Jake Gittes"
47,"Dans 'Le Bon, la Brute et le Truand', qui joue Blondin (The Good) ?","Clint Eastwood"
48,"Quel film de 2014 raconte l’histoire d’un batteur de jazz et de son professeur tyrannique ?","Whiplash"
49,"Dans 'La Ligne verte', quel est le don de John Coffey ?","Il guérit les gens"
50,"Quel réalisateur a signé 'Old Boy' ?","Park Chan-wook"
51,"Dans 'Les Enfants du Paradis', comment s’appelle le mime ?","Baptiste"
52,"Dans 'Le Septième Sceau', quel jeu le chevalier joue-t-il avec la Mort ?","Échecs"
53,"Quel film de 2001 met en scène un homme qui perd la mémoire à court terme ?","Memento"
55,"Quel film de 2019 met en scène un clown dépressif à Gotham City ?","Joker"
56,"Dans 'Le Labyrinthe de Pan', qui a réalisé le film ?","Guillermo del Toro"
57,"Dans 'La Liste de Schindler', qui incarne Oskar Schindler ?","Liam Neeson"
58,"Quel film de 1998 met en scène un soldat recherché après le Débarquement ?","Il faut sauver le soldat Ryan"
59,"Dans 'Shrek', quel animal est le compagnon du héros ?","Un âne"
60,"Dans 'Les Bronzés font du ski', quel est le prénom du personnage joué par Michel Blanc ?","Jean-Claude"
61,"Quel film d’animation Pixar met en scène des émotions personnifiées ?","Vice-Versa"
62,"Dans 'La Môme', qui incarne Édith Piaf ?","Marion Cotillard"
63,"Dans 'Le Lauréat', quelle chanson de Simon & Garfunkel est célèbre ?","Mrs. Robinson"
64,"Quel film de 1982 met en scène un extraterrestre et un jeune garçon ?","E.T. l’extra-terrestre"
65,"Dans 'La Vie est belle' de Roberto Benigni, quel est le prénom du personnage principal ?","Guido"
66,"Quel film a pour slogan 'Dans l’espace, personne ne vous entend crier' ?","Alien"
321,"Qui a la rage au ventre?","Jake Gyllenhaal"
322,"Dans le film Thelma et Louise, quelles actrices incarnent ce duo iconique ?","Susan Sarandon et Geena Davis"
69,"Dans 'La Cité de la peur', quel est le nom du tueur ?","Emile"
70,"Dans 'The Social Network', qui incarne Mark Zuckerberg ?","Jesse Eisenberg"
323,"quel est le titre du passionnant film d'horreur sorti en 2013 avec Norman (le pedo) ?","Pas très normale activité"
54,"Qui a réalisé le film 'Les Oiseaux' ?","Alfred Hitchcock"
492,"Quel est le nom de l'antagoniste du film ""Se7en (1995)""?","John Doe"
493,"Comment s'appelle le réalisateur de ""Z (1969)""?","Costa-Gavras"
581,"De qui le film ""The Apprentice"" raconte l'histoire ?","Donald Trump"
324,"Quelle actrice s’est rasé la tête pour le film “À armes égales” de Ridley Scott ?","Demi Moore"
73,"Dans 'La Folie des grandeurs', qui joue Don Salluste ?","Louis de Funès"
74,"Quel film de 2015 met en scène un robot nommé Ava ?","Ex Machina"
75,"Dans 'La Reine des neiges', quel est le prénom de la sœur d’Elsa ?","Anna"
76,"Dans 'Le Prestige', qui joue le magicien rival de Christian Bale ?","Hugh Jackman"
77,"Dans 'La Guerre des étoiles', qui est le père de Luke Skywalker ?","Darth Vader"
78,"Dans 'Les Demoiselles de Rochefort', qui sont les deux actrices principales ?","Catherine Deneuve et Françoise Dorléac"
79,"Dans '2001, l’Odyssée de l’espace', quel est le nom de l’ordinateur ?","HAL 9000"
80,"Dans 'Le Parrain 2', quel acteur joue le jeune Vito Corleone ?","Robert De Niro"
81,"Dans 'Grease', quel est le prénom du personnage joué par Olivia Newton-John ?","Sandy"
82,"Dans 'Les Tontons flingueurs', qui joue Fernand Naudin ?","Lino Ventura"
83,"Dans 'La Belle et la Bête' (Disney), quel est le prénom de l’héroïne ?","Belle"
84,"Dans 'The Truman Show', qui joue Truman ?","Jim Carrey"
85,"Dans 'Le Parrain', qui incarne Sonny Corleone ?","James Caan"
325,"Qui a réalisé le film “Le bon, la brute et le truand” avec Clint Eastwood et Lee Van Cleef en 1966 ?","Sergio Leone"
87,"Dans 'La Vie d’Adèle', qui joue Adèle ?","Adèle Exarchopoulos"
326,"Quel acteur au visage inexpressif joue dans 500 Days of Summer?","Joseph Gordon-Levitt"
327,"De qui le film  Man on the Moon est-il un biopic, brillamment incarné par Jim Carrey ?","Andy Kaufman"
335,"Quelle est la durée de ""L'Arrivée d'un train en gare de La Ciotat"" de Louis Lumière en 1896?","52 secondes (50s ok)"
91,"Dans 'Le Loup de Wall Street', qui joue Jordan Belfort ?","Leonardo DiCaprio"
382,"Quel est le nom du réalisateur de L'Île aux chiens ?","Wes Anderson."
383,"Dans L'Île aux chiens, quel est le nom du chien principal qui devient le leader du groupe ?","Chief"
95,"Dans 'La La Land', qui joue Sebastian ?","Ryan Gosling"
96,"Dans 'Le Château ambulant', quel est le prénom de la jeune héroïne ?","Sophie"
97,"Dans 'Le Pianiste', qui joue le rôle principal ?","Adrien Brody"
98,"Dans 'Léon', qui joue le tueur à gages ?","Jean Reno"
99,"Dans 'Les Visiteurs', quel est le prénom du personnage joué par Christian Clavier ?","Jacquouille"
100,"Dans 'Le Dîner de cons', qui joue Pierre Brochant ?","Thierry Lhermitte"
101,"Dans 'Le Fabuleux Destin d’Amélie Poulain', quel acteur joue Nino Quincampoix ?","Mathieu Kassovitz"
102,"Dans 'Le Silence des agneaux', qui incarne Hannibal Lecter ?","Anthony Hopkins"
104,"Dans 'Le Roi Lion', quel est le nom du père de Simba ?","Mufasa"
105,"Dans 'Les Gardiens de la Galaxie', quel est le nom de l’arbre qui parle ?","Groot"
106,"Dans 'Le Hobbit', qui joue Bilbon Sacquet ?","Martin Freeman"
107,"Dans 'Harry Potter', quel est le nom du professeur de potions ?","Severus Rogue"
108,"Dans 'La Ligne verte', qui joue Paul Edgecomb ?","Tom Hanks"
109,"Qui a gagné l'oscar du meilleur film en 2024 ?","Anora"
110,"Quel est le seul film réalisé par David Lynch dans lequel il n'apparaît pas au générique ?","Dune"
111,"Quel actrice a remporté le plus de fois l'Oscar de la meilleure actrice ?","Katharine Hepburn"
112,"Quel est le premier film à avoir remporté l'Oscar du Meilleur Film sans avoir été nominé dans aucune autre catégorie ?","The Artist"
103,"Qui a réalisé le film 'La Liste de Schindler' ?","Steven Spielberg"
113,"Quel réalisateur français est connu pour son film ""Les 400 Coups"" ?","François Truffaut"
385,"Quel est le thème principal de L'Histoire de Souleymane ?","L'intégration des jeunes immigrés dans la société française."
115,"Quel est le titre du film italien réalisé par Federico Fellini racontant une semaine de la vie romaine ?","La Dolce Vita"
116,"Qui a réalisé le film français ""La Haine"" sorti en 1995 ?","Mathieu Kassovitz"
117,"Quel film sud-coréen a remporté la Palme d'Or à Cannes en 2019 ?","Parasite"
118,"Dans quel film français Catherine Deneuve joue-t-elle le rôle de Geneviève ?","Les Parapluies de Cherbourg"
119,"Quel est le nom du réalisateur de ""Le Septième Sceau"", célèbre film suédois ?","Ingmar Bergman"
120,"Quel film d'animation japonais raconte l'histoire d'une jeune fille nommée Chihiro ?","Le Voyage de Chihiro"
386,"Qui est le réalisateur de Mektoub My Love ?","Abdellatif Kechiche"
384,"Qui réalise Le Ravissement ?","Iris Kaltenbäck"
123,"Quel est le titre du film français réalisé par Jean-Pierre Jeunet avec Audrey Tautou ?","Le Fabuleux Destin d'Amélie Poulain"
124,"Qui a réalisé ""Le Charme discret de la bourgeoisie"" ?","Luis Buñuel"
387,"A quel personnage de Blade Runner doit-on le très connu ""Tears in rain monologue"" ?","Roy Batty (incarné par Rutger Hauer)"
127,"Dans quel film japonais Toshiro Mifune joue-t-il un guerrier nommé Kikuchiyo ?","Les Sept Samouraïs"
128,"Quel réalisateur français est connu pour ses films expérimentaux comme ""Un Chien Andalou"" ?","Luis Buñuel"
129,"Quel film français raconte l'histoire d'un chef cuisinier et d'un critique gastronomique ?","Le Chef"
130,"Qui a réalisé ""La Grande Illusion"", un classique du cinéma français ?","Jean Renoir"
131,"Quel film sud-coréen raconte l'histoire d'une famille pauvre qui infiltre une famille riche ?","Parasite"
396,"Quel compositeur emblématique a signé la majorité des musiques des films de Spielberg ?","John Williams."
397,"Qui a réalisé Fight Club ?","David Fincher."
134,"Quel film russe met en scène un soldat nommé Ivan dans la Seconde Guerre mondiale ?","Ivan le Terrible"
135,"Qui est le réalisateur de ""Le Samouraï"", film culte français ?","Jean-Pierre Melville"
398,"Quel réalisateur français a signé la trilogie Marius, Fanny et César ?","Marcel Pagnol."
399,"Quel film de Robert Bresson raconte le quotidien d’un âne ?","Au hasard Balthazar."
405,"Quelle est la relation entre les personnages de Tom Cruise et Miles Teller dans Top Gun: Maverick ?","Ils sont mentor et élève, Maverick étant le mentor de Rooster."
328,"Quel célèbre chanteur fait une apparition dans le film Twin Peaks Fire Walk With Me ?","David Bowie"
329,"C'est bizarre il a l'air un peu pédophile ce film.. ça doit être moi, c'est pas comme si le réalisateur avait rencontré sa femme a 15 ans ! Quel film est-ce?","Léon"
330,"je suis un film un peu répétitif ; y'a une marmotte et Bill Murray. Qui suis-je ?","Un Jour Sans Fin"
331,"Je suis le Joker (2019) mais en mieux, et avec Robert de Niro. Qui suis-je ?","The King of Comedy (la valse des pantins)"
142,"Quel est le titre du film français où Marion Cotillard incarne Édith Piaf ?","La Môme"
336,"Qui sont l'homme et la femme du film de Lelouch, en 1966 ?","Jean-Louis Trintignant et Anouk Aimée (jtm)"
144,"Qui a réalisé ""Amélie"", un film français très populaire ?","Jean-Pierre Jeunet"
145,"Dans quel film français Jean Dujardin incarne-t-il un acteur muet ?","The Artist"
146,"Quel film italien raconte la vie d'un boxeur nommé Jake LaMotta ?","Raging Bull"
337,"Dans Cars comment s'appelle le sponsor qui veut absolument McQueen à la fin?","Dinoco"
388,"Dans quel film Al Pacino et Gene Hackman partagent-ils l'affiche ?","Scarecrow (L'épouvantail)"
389,"Comment s’appelle la femme que Travis cherche à retrouver dans Paris, Texas ?","Jane"
390,"Quel mouvement cinématographique a lancé Festen (The Celebration) ?","Le Dogme95"
391,"Qui est Jack dans le court métrage de David Lynch, What Did Jack Do ?","Un singe"
400,"Quel réalisateur est connu pour  Oldboy et Lady Vengeance ?","Park Chan-wook."
153,"Dans quel film français Isabelle Adjani joue-t-elle une femme tourmentée ?","Possession"
401,"Quel film britannique de 2000 raconte l’histoire d’un garçon qui découvre sa passion pour la danse ?","Billy Elliot."
406,"Quel personnage interprète Jake Gyllenhaal dans Zodiac et quel est son rôle dans l'enquête ?","Jake Gyllenhaal interprète Robert Graysmith, un cartooniste du San Francisco Chronicle qui se passionne pour l'enquête sur le tueur du Zodiac."
407,"Quel est le métier de Jef, le personnage incarné par Alain Delon dans Le Samouraï ?","Jef est un tueur à gages."
408,"Quel événement déclenche la terreur dans The Evil Dead ?","Le groupe écoute une vieille cassette contenant des incantations qui réveillent les esprits maléfiques."
409,"Quel style cinématographique caractérise [REC] ?","Le film utilise le style ""found footage"", donnant l'impression d'un reportage authentique filmé en temps réel."
416,"Quel est le nom du film indien de 2022, avec la chanson Naatu Naatu ?","RRR."
160,"Qui a réalisé ""La Nuit américaine"", un film français sur le tournage d'un film ?","François Truffaut"
161,"Quel réalisateur français a signé ""Le Mépris"" avec Brigitte Bardot ?","Jean-Luc Godard"
162,"Dans quel film italien Vittorio De Sica raconte-t-il la misère d'un père et de son fils à Rome ?","Le Voleur de bicyclette"
163,"Qui incarne le commissaire Maigret dans le film ""Maigret tend un piège"" (1958) ?","Jean Gabin"
164,"Quel film britannique de 1996, réalisé par Danny Boyle, suit un groupe de jeunes Écossais ?","Trainspotting"
165,"Dans ""Rashômon"", qui a réalisé ce classique du cinéma japonais ?","Akira Kurosawa"
417,"Dans quel film indien de 2008 un jeune homme issu des bidonvilles participe à un jeu télévisé ?","Slumdog Millionaire."
167,"Qui tient le rôle principal dans ""Le Cercle rouge"" de Jean-Pierre Melville ?","Alain Delon"
418,"Dans quel film de 2008 un jeune homme issu des bidonvilles de Juhu en Inde participe à un jeu télévisé ?","Slumdog Millionaire."
419,"Quel film a ruiné le réalisateur Jacques Tati, le forçant à hypothéquer sa maison bien que dorénavant considéré comme son chef d'oeuvre?","PlayTime"
170,"Dans ""Old Boy"", qui incarne le personnage principal emprisonné pendant 15 ans ?","Choi Min-sik"
420,"Comment s'appelle la première réalisatrice de l'histoire, ayant fait notamment ""La fée aux choux"" à la fin du 19ème siècle ?","Alice Guy"
172,"Qui a réalisé ""La Règle du jeu"", considéré comme un chef-d'œuvre du cinéma français ?","Jean Renoir"
173,"Dans quel film italien Roberto Benigni joue-t-il un père déporté avec son fils ?","La Vie est belle"
421,"Dans le film Babe, quel est le rêve du petit cochon ?","Devenir un chien de berger."
422,"Dans Magnolia, quel phénomène météorologique inhabituel survient ?","Une pluie de grenouilles."
176,"Quel réalisateur coréen a signé le thriller ""Memories of Murder"" ?","Bong Joon-ho"
177,"Dans quel film français de 1970 Catherine Deneuve partage l'affiche avec Marcello Mastroianni ?","Peau d'âne"
436,"Combien de temps Ripley a-t-elle passé en sommeil cryogénique entre Alien et Aliens ?","Ripley a passé 57 ans en sommeil cryogénique avant de se réveiller dans Aliens."
179,"Dans ""La Grande Vadrouille"", qui partage la vedette avec Louis de Funès ?","Bourvil"
441,"Quel film d’animation belge de 2016, réalisé par Michael Dudok de Wit, a été coproduit avec le Studio Ghibli ?","La Tortue rouge"
181,"Dans quel film japonais un samouraï aveugle est le héros ?","Zatoichi"
442,"Dans Le Roi et l’Oiseau, qui est l’auteur du scénario et des dialogues ?","Jacques Prévert"
443,"Quel film d’animation de Michel Ocelot se déroule en Afrique et raconte l’histoire d’un enfant minuscule ?","Kirikou et la Sorcière"
444,"Quel film d’animation en stop-motion sorti en 2016, raconte l’histoire d’un garçon dans un foyer après la disparition de sa mère ?","Ma vie de Courgette"
445,"Quel film d’animation de 2022, réalisé par Alain Ughetto, revient sur l’histoire des immigrés italiens en France ?","Interdit aux chiens et aux Italiens"
186,"Dans ""Un prophète"", qui incarne le jeune détenu Malik ?","Tahar Rahim"
446,"Quel réalisateur allemand est célèbre pour M (1931), un thriller sur un tueur d’enfants ?","Fritz Lang"
190,"Dans ""Le Salaire de la peur"", qui joue le rôle de Mario ?","Yves Montand"
191,"Quel film japonais de 1954 met en scène des paysans recrutant des guerriers pour se défendre ?","Les Sept Samouraïs"
196,"Dans quel film suédois de 1957 un chevalier joue aux échecs avec la Mort ?","Le Septième Sceau"
197,"Quel film français de 1990 met en scène un tueur à gages taciturne et une jeune femme ?","Nikita"
198,"Qui réalise ""La Nuit américaine"", film sur le tournage d'un film ?","François Truffaut"
199,"Dans quel film italien Sophia Loren incarne une mère durant la Seconde Guerre mondiale ?","La Ciociara"
200,"Quel film allemand de 2003 raconte la vie d'une famille à Berlin-Est avant la chute du Mur ?","Good Bye, Lenin!"
201,"Dans ""Le Samouraï"", qui incarne Jef Costello ?","Alain Delon"
202,"Dans quel film britannique de 1964 Julie Andrews incarne une nounou magique ?","Mary Poppins"
203,"Quel film italien de Giuseppe Tornatore rend hommage à l'amour du cinéma ?","Cinema Paradiso"
204,"Dans ""Le Dîner de cons"", qui joue François Pignon ?","Jacques Villeret"
332,"Quel est le premier long métrage d’animation des studios Pixar ?","Toy Story"
206,"Dans quel film français Jean Dujardin incarne un agent secret des années 50 ?","OSS 117 : Le Caire, nid d'espions"
207,"Quel film japonais de 2018 de Hirokazu Kore-eda a remporté la Palme d'Or ?","Une affaire de famille"
208,"Pour quelle agence gouvernementale Ethan Hunt travaille-t-il dans la saga cinématographique “Mission : Impossible” ?","IMF"
209,"En plus d’Emmanuelle Béart, quel acteur français joue dans le premier volet de la saga “Mission impossible” (1996) ?","Jean Reno"
211,"En 1998, quel cinéaste est fou de joie de recevoir un prix et se prosterne devant Martin Scorsese, le président du jury pour lui baiser les pieds ?","Roberto Benigni"
212,"Avec quel film Quentin Tarantino reçoit-il la Palme d’or du festival de Cannes ?","Pulp Fiction"
213,"Quel acteur retrouve-t-on à plusieurs reprises dans les réalisations de David Lynch ?","Kyle MacLachlan"
214,"Dans la série de David Lynch Twin Peaks, quel est le nom de la lycéenne tuée au cœur de l'intrigue ?","Laura Palmer"
215,"Quel film de David Lynch a reçu la Palme d'or au Festival de Cannes ?","Sailor et Lula (Wild at Heart)"
216,"Quelle actrice tient le rôle de la femme de Sam, joué par Robert De Niro, dans le film de Martin Scorsese “Casino” ?","Sharon Stone"
217,"Pour quel film, Robert De Niro remporte-t-il l’Oscar du meilleur acteur dans un second rôle en 1975 ?","La Parrain 2"
210,"Quels accessoires sont couramment utilisés dans les films ""Mission : impossible"" ?","Des masques"
218,"Quel est le surnom du réalisateur Alfred Hitchcock ?","Le maitre du suspens"
219,"Quel film d’Alfred Hitchcock se déroule dans la petite ville de Bodega Bay ?","Les oiseaux"
221,"Quel réalisateur asiatique a réalisé le film ""A City of Sadness"" ?","Hou Hsiao-Hsien"
222,"Quel célèbre musicien a composé la BO du film Ascenseur pour l’échafaud, réalisé par Louis Malle en 1958 ?","Miles Davis"
223,"Qui a réalisé ""Le Gendarme de Saint-Tropez"" en 1959, un film français souvent méconnu du grand public mais qui est resté un classique du cinéma comique ?","Jean Girault"
338,"Dans Dog Day Afternoon, quel est le motif personnel qui pousse Sonny Wortzik (incarné par Al Pacino) à braquer une banque à Brooklyn ?","Financer l’opération de changement de sexe de son compagnon, Leon Shermer"
339,"Dans Top Gun, quel est le surnom du personnage principal, interprété par Tom Cruise ?","Le surnom du personnage principal, Maverick, est Pete ""Maverick"" Mitchell"
392,"Quel est le thème central du film Requim pour un massacre (Come and See) ?","L’horreur et la dévastation de la guerre vues à travers les yeux d’un enfant."
227,"Dans quel film de 1982, réalisé par Andrei Tarkovsky, un scientifique part à la recherche d'un artefact mystérieux dans une zone interdite ?","Stalker"
393,"Comment le personnage de DiCaprio se protège-t-il du froid extrême dans The Revenant ?","Il ouvre le ventre d’un cheval mort et se glisse à l’intérieur pour se réchauffer et éviter l’hypothermie."
402,"Quelles sont les deux actrices incarnant le personnage de Furiosa dans Mad Max Fury Road et Furiosa ?","Charlize Théron et Anya Taylor-Joy"
410,"Quelle est la principale mission de Maverick dans Top Gun: Maverick ?","Maverick doit entraîner une nouvelle génération de pilotes ."
423,"Dans quel film trouve-t-on le personnage de Tyler Durden ?","Fight Club"
234,"Quel film français de 1965, réalisé par Jacques Demy, est un mélange de comédie musicale et de tragédie, avec des personnages qui évoluent dans une ambiance presque onirique ?","Les Parapluies de Cherbourg"
424,"Quel film muet allemand de 1927, réalisé par Fritz Lang, a marqué la science-fiction par sa vision futuriste de la ville ?","Metropolis"
425,"Quel est le seul film réalisé par Charles Laughton, devenu un classique du cinéma ?","La Nuit du chasseur"
237,"Quel film russe de 1989 réalisé par Andrei Tarkovsky est une réflexion poétique sur la mémoire et la solitude dans l'univers post-soviétique ?","Le Sacrifice"
426,"Quel est le nom du film réalisé par Spike Lee en 1989, nommé pour le meilleur scénario aux Oscars ?","Do the Right Thing"
427,"Dans The Truman Show, quelle est la ville dans laquelle vit Truman ?","Seahaven"
428,"Qui est le réalisateur du Cuirassé Potemkine ?","Sergei Eisenstein"
437,"Quelle est la transformation de Cady Heron dans Mean Girls ?","Cady passe d'une fille timide et naïve à une manipulatrice pour s'intégrer dans le groupe des ""Plastics""."
447,"Quel film muet de Charlie Chaplin met en scène le personnage du Vagabond ?","Le Kid"
448,"Quel film musical de 1961 réalisé par Robert Wise se déroule à Broadway ?","West Side Story"
449,"Quel film de 1961 avec Audrey Hepburn se déroule à New York ?","Diamants sur canapé (Breakfast at Tiffany’s)"
231,"Dans quel film japonais de 1959, réalisé par Yasujirō Ozu, une famille se confronte à l'isolement émotionnel et à la vieillesse de ses membres ?","Late Spring"
450,"Quel film de Jean Renoir, sorti en 1937, est une œuvre majeure sur la Première Guerre mondiale et l’humanité entre prisonniers ?","La Grande Illusion"
451,"Quel acteur joue le rôle principal dans Le Samouraï (1967) de Jean-Pierre Melville ?","Alain Delon"
452,"Quel film de 1969 d’Éric Rohmer fait partie de la série Contes moraux ?","Ma Nuit chez Maud"
453,"Quel film français réalisé par Céline Sciamma est sorti en 2019 ?","Portrait de la jeune fille en feu"
454,"Quel film français réalisé par Guillaume Canet, sorti en 2010, suit un groupe d'amis en vacances au Cap Ferret ?","Les Petits Mouchoirs"
455,"Quel film français de 1949, premier long-métrage de Jacques Tati, met en scène un facteur maladroit dans un village rural ?","Jour de fête"
456,"Quel film de François Truffaut de 1959 est un portrait semi-autobiographique de l’enfance ?","Les 400 Coups"
333,"Quel film français avec John Malkovich sortira en 2115 ?","100 Years : The Movie You Will Never See"
340,"Dans No Country for Old Men, quel objet symbolise la violence omniprésente dans le film ?","Le pistolet à air comprimé utilisé par Anton Chigurh"
247,"Quel film soviétique de 1957, réalisé par Andrei Tarkovsky, explore les thèmes de la foi et de la quête spirituelle dans une campagne dévastée ?","Le Miroir"
249,"Quel réalisateur américain a signé ""Memento"" (2000), un thriller complexe qui joue avec la narration et le temps dans une quête de vengeance ?","Christopher Nolan"
341,"Dans Killers of the Flower Moon, qui est le principal meurtrier des Osages ?","William Hale (l'oncle)"
251,"Quel film de 2009 réalisé par Lars von Trier est un film psychologique et dramatique qui met en scène une femme qui se trouve confrontée à une crise personnelle ?","Antichrist"
342,"Dans Pierrot le Fou, quel est le nom du personnage joué par Jean-Paul Belmondo ?","Ferdinand Griffon"
253,"Dans quel film de 1972, réalisé par Werner Herzog, un explorateur est obsédé par la recherche d'une mine d'or au cœur de l'Amazonie ?","Aguirre, la colère de Dieu"
343,"Qui est l'antagoniste principal dans Mad Max: Fury Road ?","Immortan Joe, le tyran qui contrôle l'eau et le carburant."
344,"Quel est le rôle principal du personnage de Furiosa dans Furiosa ?","Furiosa cherche à s'évader du tyran Immortan Joe pour sauver les femmes opprimées."
345,"Quelle phrase célèbre Jack Nicholson dit-il dans The Shining ?","""Here's Johnny!"""
346,"Quel acteur joue le rôle principal dans Eyes Wide Shut ?","Tom Cruise."
260,"Quel réalisateur de cinéma expérimental américain, actif dans les années 60 et 70, est l'auteur du film ""The Flicker"" ?","Tony Conrad"
262,"Dans quel film de 1994, le réalisateur David Fincher met-il en scène une histoire de crime qui va au-delà de l'apparence et de la morale ?,","Se7en"
263,"Quel film expérimental de 1966 réalisé par Claude Lanzmann raconte l'épreuve des victimes du nazisme à travers des témoignages et des interviews ?","Shoah"
264,"Quel réalisateur coréen a réalisé ""Oldboy"" (2003), un film où la quête de vengeance mène à une terrible vérité ?","Park Chan-wook"
265,"Dans le film de 2002, réalisé par Hirokazu Kore-eda, quelle tragédie frappe une famille dysfonctionnelle ? ","Nobody Knows"
347,"Dans Barry Lyndon, quel est le nom du personnage principal ?","Redmond Barry."
348,"Dans Mad Max, pourquoi Max décide-t-il de quitter la police ?","Max quitte la police après la mort de sa famille, tuée par des motards"
349,"Quel est l'objectif principal de Max dans Mad Max 2 ?","Max cherche à obtenir du carburant pour pouvoir survivre dans un monde post-apocalyptique"
350,"De quoi parle Dr. Strangelove ?","C’est une satire de la guerre froide, centrée sur un général américain qui déclenche accidentellement une attaque nucléaire."
351,"Qui interprète le rôle de Alex DeLarge dans A Clockwork Orange ?","Malcolm McDowell."
352,"Qui incarne le personnage du sergent Hartman dans Full Metal Jacket ?","R. Lee Ermey."
353,"Quel est le rôle de Kirk Douglas dans Paths of Glory ?","Il joue le rôle du colonel Dax."
354,"Qui dirige L'ultime razzia (The Killing) ?","Stanley Kubrick."
394,"Quel est le surnom de John Wick ?","Baba Yaga"
403,"Qui sont les deux acteurs principaux dans Dog Day Afternoon ?","Al Pacino et John Cazale"
276,"Darren Aronofsky a exploré la conscience humaine dans un thriller psychologique de 1994. Quel est le titre du film ? ","Pi"
404,"Qui sont les deux actrices principales dans Le Portrait de la jeune fille en feu ?","Noémie Merlant et Adèle Haenel"
257,"Quel film mexicain de 2006 réalisé par Guillermo del Toro raconte l'histoire d'un petit garçon qui rêve d'échapper à un monde cruel à travers un fantastique labyrinthique ?","Le Labyrinthe de Pan"
411,"De quel groupe de musique Jonathan Demme a-t-il réalisé un film sur un de leur célèbre concert en 1984?","Talking Heads"
280,"Michael Cimino a réalisé en 1979 un film qui décrit les horreurs de la guerre du Vietnam. Quel est le titre de ce film ? ","Voyage au bout de l'enfer"
412,"""snif snif.... hitler est mort... 😢 "" quel réalisateur suis-je ?","Ingmar Bergman"
